
                         Standard orientation:                         
 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0        4.986884   -3.225234   -0.041319
      2          6           0        3.711446   -3.851400   -0.047861
      3          6           0        2.494800   -3.083328   -0.031244
      4          6           0        2.523472   -1.608722    0.040258
      5          6           0        3.887180   -0.954220    0.006963
      6          6           0        5.068302   -1.775211   -0.029868
      7          6           0        1.258045   -3.810569   -0.050400
      8          6           0       -0.000016   -1.763709    0.051351
      9          6           0       -0.000031   -3.152346   -0.037596
     10          6           0       -1.258111   -3.810519   -0.050380
     11          6           0       -2.494880   -3.083271   -0.031194
     12          6           0       -2.523541   -1.608684    0.040269
     13          6           0       -1.221418   -1.009100    0.135371
     14          6           0        1.221399   -1.009113    0.135386
     15          6           0        0.761082    0.376727    0.414483
     16          6           0       -0.761093    0.376699    0.414369
     17          6           0        4.102263    0.505031   -0.034198
     18          6           0        1.607540    1.510852    0.146293
     19          6           0        3.079623    1.470184   -0.024441
     20          6           0       -3.887242   -0.954161    0.007030
     21          6           0       -1.607514    1.510862    0.146355
     22          6           0       -3.079614    1.470241   -0.024373
     23          6           0        3.457299    2.838426   -0.136330
     24          6           0        1.219870    2.848267    0.143559
     25          6           0       -1.219795    2.848284    0.143602
     26          6           0       -3.457212    2.838484   -0.136336
     27          6           0        2.353946    3.653794   -0.057243
     28          6           0       -2.353830    3.653811   -0.057270
     29          6           0        0.000052    3.562371    0.553392
     30          6           0        2.417310    5.033767   -0.083102
     31          6           0        0.000070    5.060685    0.093786
     32          6           0       -2.417169    5.033794   -0.083119
     33          6           0       -3.689647    5.641056   -0.155388
     34          6           0       -4.844120    4.816921   -0.170048
     35          6           0       -4.715379    3.394087   -0.173722
     36          6           0       -1.200179    5.773501   -0.043970
     37          6           0        1.200301    5.773482   -0.043992
     38          6           0        3.689813    5.640994   -0.155343
     39          6           0        4.715490    3.393990   -0.173678
     40          6           0        5.485292    1.069663   -0.093106
     41          6           0        6.417900   -1.205500   -0.063072
     42          6           0        6.171302   -4.039327   -0.054424
     43          6           0        7.579113   -2.035574   -0.073186
     44          6           0        6.604564    0.209205   -0.088169
     45          6           0        5.775839    2.486441   -0.137054
     46          6           0        4.844244    4.816812   -0.169999
     47          6           0        7.472451   -3.458410   -0.062804
     48          6           0       -6.161481    5.385433   -0.152627
     49          6           0       -5.775724    2.486550   -0.137088
     50          6           0       -5.485301    1.069740   -0.093089
     51          6           0       -5.068414   -1.775133   -0.029802
     52          6           0       -3.711552   -3.851313   -0.047805
     53          6           0       -6.418031   -1.205404   -0.063033
     54          6           0       -6.604628    0.209313   -0.088158
     55          6           0       -7.094406    3.068433   -0.132019
     56          6           0       -7.244873    4.506644   -0.144820
     57          6           0       -4.102286    0.505092   -0.034112
     58          6           0       -4.986985   -3.225147   -0.041267
     59          6           0        6.088297   -5.478898   -0.056092
     60          6           0        3.653939   -5.301831   -0.057688
     61          6           0        1.227608   -5.256291   -0.058126
     62          6           0       -1.227647   -5.256231   -0.058118
     63          6           0       -3.654042   -5.301739   -0.057647
     64          6           0        8.640951   -4.278334   -0.064294
     65          6           0        4.823908   -6.065999   -0.050878
     66          1           0        4.738823   -7.148136   -0.041269
     67          6           0        2.425284   -5.962067   -0.051759
     68          6           0        8.534833   -5.713536   -0.054009
     69          6           0        7.249934   -6.272553   -0.049054
     70          1           0        7.138318   -7.352894   -0.039446
     71          6           0       -2.425295   -5.961984   -0.051804
     72          1           0       -2.407792   -7.047010   -0.042167
     73          1           0        2.407706   -7.047095   -0.042174
     74          6           0       -0.000015   -5.926688   -0.052081
     75          1           0       -0.000033   -7.012138   -0.042476
     76          6           0        6.161636    5.385251   -0.152601
     77          6           0        7.094596    3.068255   -0.131980
     78          6           0        7.946006    0.780183   -0.111661
     79          6           0        8.908218   -1.462920   -0.091756
