                         Standard orientation:
---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0        4.980576   -3.2260345   -0.0389805
      2          6           0        3.7054395   -3.8522175   -0.0466785
      3          6           0        2.4887175   -3.0837855   -0.030899
      4          6           0        2.516931   -1.61021   0.0415805
      5          6           0        3.8801655   -0.955283   0.005628
      6          6           0        5.061926   -1.775561   -0.0285445
      7          6           0        1.2524395   -3.8107665   -0.050157
      8          6           0        0.00091   -1.7598295   0.0457015
      9          6           0        -0.003462   -3.149646   -0.041931
      10          6           0        -1.2625075   -3.80833   -0.0532255
      11          6           0        -2.5013045   -3.0800125   -0.0353185
      12          6           0        -2.53193   -1.606388   0.02546
      13          6           0        -1.2242915   -0.9973545   0.1118345
      14          6           0        1.216852   -1.0071875   0.139172
      15          6           0        0.7530195   0.3823985   0.485393
      16          6           0        -0.7722615   0.378871   0.319622
      17          6           0        4.0945085   0.5043415   -0.0495015
      18          6           0        1.5956815   1.5109775   0.1028135
      19          6           0        3.0714745   1.4690685   -0.0637535
      20          6           0        -3.891809   -0.9542705   -0.00124
      21          6           0        -1.6105045   1.4962375   0.1598195
      22          6           0        -3.0907365   1.469831   0.004401
      23          6           0        3.453235   2.8366025   -0.185212
      24          6           0        1.213478   2.8444235   0.0863745
      25          6           0        -1.224428   2.8549115   0.176214
      26          6           0        -3.4622035   2.836064   -0.082923
      27          6           0        2.349033   3.6525995   -0.1152225
      28          6           0        -2.355992   3.6530195   -4e-05
      29          6           0        0.00894   3.560439   0.5299875
      30          6           0        2.4152115   5.0307045   -0.1138225
      31          6           0        -0.000253   5.0600865   0.0865745
      32          6           0        -2.4195165   5.037811   -0.0508195
      33          6           0        -3.689986   5.6426275   -0.1365385
      34          6           0        -4.8477625   4.817079   -0.1513185
      35          6           0        -4.7201955   3.3950655   -0.1423845
      36          6           0        -1.203389   5.7743485   -0.0337845
      37          6           0        1.1975925   5.771776   -0.0572215
      38          6           0        3.6881275   5.639707   -0.1675795
      39          6           0        4.7112355   3.392669   -0.1971645
      40          6           0        5.4796155   1.0683835   -0.1001015
      41          6           0        6.412278   -1.2067115   -0.0616915
      42          6           0        6.1651365   -4.040786   -0.052213
      43          6           0        7.5733905   -2.037236   -0.070968
