,,0,,1,,2,,3,,4,,5
,"t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C","t, с","t, °C"
,1.5,81.882,1.5,79.635,1.5,83.588,1.5,81.882,1.5,82,1.5,82.824
,4.5,81.059,4.5,78.542,4.5,82.882,4.5,80.706,4.5,81.294,4.5,81.412
,7.5,80.118,7.5,77.188,7.5,81.882,7.5,79.167,7.5,80.177,7.5,79.375
,10.5,79.219,10.5,75.729,10.5,80.706,10.5,77.656,10.5,79.063,10.5,77.188
,13.5,78.281,13.5,74.409,13.5,79.583,13.5,76.094,13.5,77.917,13.5,74.909
,16.5,77.344,16.5,73.273,16.5,78.542,16.5,74.636,16.5,76.719,16.5,72.955
,19.5,76.406,19.5,72.227,19.5,77.552,19.5,73.364,19.5,75.469,19.5,71.091
,22.5,75.417,22.5,71.318,22.5,76.563,22.5,72.136,22.5,74.409,22.5,69.435
,25.5,74.591,25.5,70.546,25.5,75.625,25.5,70.955,25.5,73.409,25.5,67.984
,28.5,73.727,28.5,69.919,28.5,74.636,28.5,69.798,28.5,72.455,28.5,66.653
,31.5,72.955,31.5,69.476,31.5,73.818,31.5,68.831,31.5,71.5,31.5,65.323
,34.5,72.091,34.5,69.194,34.5,73,34.5,67.863,34.5,70.636,34.5,64.203
,37.5,71.273,37.5,68.911,37.5,72.136,37.5,66.936,37.5,69.839,37.5,63.116
,40.5,70.5,40.5,68.629,40.5,71.318,40.5,65.927,40.5,69.113,40.5,62.101
,43.5,69.718,43.5,68.307,43.5,70.5,43.5,65.04,43.5,68.427,43.5,61.087
,46.5,68.992,46.5,67.944,46.5,69.718,46.5,64.167,46.5,67.742,46.5,60.145
,49.5,68.226,49.5,67.5,49.5,68.952,49.5,63.37,49.5,67.097,49.5,59.243
,52.5,67.46,52.5,66.976,52.5,68.226,52.5,62.573,52.5,66.411,52.5,58.388
,55.5,66.734,55.5,66.371,55.5,67.5,55.5,61.739,55.5,65.807,55.5,57.566
,58.5,66.008,58.5,65.686,58.5,66.774,58.5,60.978,58.5,65.161,58.5,56.743
,61.5,65.282,61.5,64.928,61.5,66.048,61.5,60.181,61.5,64.565,61.5,55.921
,64.5,64.565,64.5,64.203,64.5,65.323,64.5,59.474,64.5,63.949,64.5,55.132
,67.5,63.913,67.5,63.478,67.5,64.638,67.5,58.783,67.5,63.37,67.5,54.431
