 ------------------------------------
 #p opt b3lyp/6-31g geom=connectivity
 ------------------------------------

 -------------------
 Title Card Required
 -------------------

                         Standard orientation:                         
 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0        4.979905   -3.233627   -0.029974
      2          6           0        3.704746   -3.859167   -0.038828
      3          6           0        2.488346   -3.089744   -0.023886
      4          6           0        2.516864   -1.617214    0.049571
      5          6           0        3.879964   -0.962568    0.010961
      6          6           0        5.061938   -1.782745   -0.020553
      7          6           0        1.252169   -3.815825   -0.043246
      8          6           0        0.008235   -1.760167    0.046720
      9          6           0       -0.001214   -3.151158   -0.039598
     10          6           0       -1.261566   -3.809700   -0.049403
     11          6           0       -2.502013   -3.079671   -0.032775
     12          6           0       -2.533841   -1.606992    0.017319
     13          6           0       -1.220367   -0.989189    0.094966
     14          6           0        1.219093   -1.010106    0.149626
     15          6           0        0.752467    0.383468    0.562971
     16          6           0       -0.775924    0.377233    0.231543
     17          6           0        4.094323    0.497319   -0.058137
     18          6           0        1.591914    1.506067    0.066002
     19          6           0        3.071395    1.462150   -0.096398
     20          6           0       -3.889561   -0.956578   -0.002842
     21          6           0       -1.605419    1.478233    0.179952
     22          6           0       -3.093789    1.466812    0.039843
     23          6           0        3.457948    2.828776   -0.227426
     24          6           0        1.215866    2.835738    0.035858
     25          6           0       -1.220270    2.857959    0.215494
     26          6           0       -3.458418    2.831224   -0.022842
     27          6           0        2.353320    3.645974   -0.166534
     28          6           0       -2.348953    3.649233    0.063858
     29          6           0        0.026980    3.554281    0.513251
     30          6           0        2.423026    5.022176   -0.137875
     31          6           0        0.009354    5.055272    0.086031
     32          6           0       -2.411943    5.038866   -0.011852
     33          6           0       -3.680092    5.641894   -0.111021
     34          6           0       -4.841600    4.815533   -0.125921
     35          6           0       -4.715943    3.394275   -0.104379
     36          6           0       -1.196299    5.771604   -0.016931
     37          6           0        1.205181    5.765234   -0.063783
     38          6           0        3.696671    5.632294   -0.173148
     39          6           0        4.716046    3.384694   -0.213983
     40          6           0        5.481800    1.060053   -0.100429
     41          6           0        6.413338   -1.215457   -0.053643
     42          6           0        6.164185   -4.049651   -0.043334
     43          6           0        7.573920   -2.047033   -0.062082
     44          6           0        6.601664    0.198885   -0.080951
     45          6           0        5.775536    2.475865   -0.145155
     46          6           0        4.848540    4.808325   -0.185716
     47          6           0        7.465979   -3.470290   -0.051464
     48          6           0       -6.157438    5.388783   -0.143043
     49          6           0       -5.775982    2.489047   -0.107932
     50          6           0       -5.489989    1.069933   -0.073498
     51          6           0       -5.076694   -1.776910   -0.037293
     52          6           0       -3.717543   -3.850119   -0.045392
     53          6           0       -6.421504   -1.203761   -0.062298
     54          6           0       -6.608639    0.211649   -0.081998
     55          6           0       -7.092987    3.072834   -0.123135
     56          6           0       -7.241818    4.511215   -0.135614
     57          6           0       -4.111910    0.502434   -0.012102
     58          6           0       -4.994477   -3.223647   -0.043802
     59          6           0        6.080026   -5.489422   -0.046391
     60          6           0        3.645873   -5.309606   -0.048438
     61          6           0        1.219595   -5.261327   -0.049335
